aerialWon,age,apps,appsSub,assists,bigChanceCreated,bigChanceFaced,bigChanceSucc,blocks,clears,country,countryZh,crossSucc,crosses,disp,dribbledPast,dribbles,errorsSum,finalThirdPass,finalThirdPassSucc,fouled,fouls,goalProp,goals,interceptions,keyPasses,longBall,longBallSucc,mans,mins,offsideWon,offsides,passSucc,passes,playerCountry,playerId,playerMainPosition,playerName,rate,redCards,shots,shotsOT,shotsOTProp,tackles,teamId,teamName,thBall,thBallSucc,unsTouches,yelCards
0.8,33,4,1,1,0,0,0.0,0.6,0.2,Portugal,葡萄牙,0.0,1.8,1.2,0.799998,0.8,0,13.8,0.7971,0.6,1.2,0.0,0,1.0,2.2,1.8,0.0,0,360,0.0,0.0,82.9633,36.4,Portugal,2986,中场,穆蒂尼奥,7.086,0,0.0,0.0,0.0,3.8,269,狼队,0.0,0.0,1.0,0
0.666667,32,3,0,0,0,1,1.0,0.0,0.0,England,英格兰,0.0,0.333333,2.0,1.0,1.33333,0,16.3333,0.795918,1.66667,2.33333,0.333333,1,0.666667,0.666667,4.0,0.0,0,266,0.0,0.0,84.6668,50.0,England,400,中场,诺布尔,7.083333,0,1.0,0.666667,0.666667,2.33333,16,西汉姆联,0.0,0.0,1.66667,1
1.0,20,5,0,1,1,0,0.0,0.6,1.6,France,法国,0.0,0.0,0.8,2.0,1.0,1,15.0,0.76,1.0,0.8,0.0,0,2.0,0.6,2.4,0.0,0,423,0.2,0.0,88.1728,55.8,France,17242,中场,贡多齐,7.082,0,0.6,0.4,0.666667,1.8,12,阿森纳,0.2,0.0,0.8,1
1.8,27,5,0,0,0,2,0.5,1.2,3.6,Switzerland,瑞士,0.0,0.0,0.0,0.999998,0.2,0,9.4,0.595745,1.2,1.0,0.166667,1,2.8,0.0,5.2,0.0,1,435,0.6,0.0,73.1577,38.0,Switzerland,6891,中后卫,法比安·舍尔,7.076,0,1.2,0.4,0.333333,3.2,4,纽卡斯尔,0.0,0.0,0.6,0
0.333333,23,2,1,0,0,1,1.0,0.0,0.0,Nigeria,尼日利亚,0.0,0.666667,0.666667,0.666667,2.0,0,12.6667,0.789474,0.0,0.0,0.166667,1,0.0,0.666667,1.0,0.0,0,195,0.0,0.0,79.1046,22.3333,Nigeria,6288,左边锋,伊沃比,7.066667,0,2.0,1.0,0.5,2.0,14,埃弗顿,0.0,0.0,3.33333,0
2.4,23,5,0,0,0,0,0.0,0.6,2.0,Denmark,丹麦,0.0,0.0,1.8,1.6,1.0,0,11.0,0.6,0.2,1.8,0.0,0,3.6,0.6,1.4,0.0,1,405,0.2,0.0,76.2134,37.0,Denmark,11323,中场,菲利普·比林,7.06,0,1.4,0.2,0.142857,3.0,208,伯恩茅斯,0.0,0.0,2.6,2
2.5,28,4,0,0,0,2,0.5,0.0,0.0,Ghana,加纳,0.0,0.0,1.25,0.5,0.999997,0,8.25,0.69697,2.25,1.25,0.285714,2,0.25,0.75,0.0,0.0,0,297,0.0,0.0,72.8572,17.5,Ghana,3091,中锋,乔丹·阿尤,7.06,0,1.75,1.25,0.714285,1.25,19,水晶宫,0.0,0.0,2.25,1
1.0,25,5,0,1,1,0,0.0,0.4,1.0,England,英格兰,0.0,0.999998,1.6,0.8,1.4,1,16.4,0.731707,0.6,0.4,0.0,0,1.4,1.4,2.4,0.0,1,430,0.0,0.2,81.622,37.0,England,11011,左中场,所罗门·马奇,7.054,0,1.0,0.6,0.6,1.8,263,布莱顿,0.2,0.0,1.4,0
0.8,25,4,1,1,1,0,0.0,0.0,0.6,Brazil,巴西,0.0,0.2,0.2,1.4,0.4,0,13.4,0.880597,0.6,1.0,0.0,0,1.2,1.4,3.8,0.0,0,376,0.0,0.0,87.0722,52.6,Brazil,2983,后腰,法比尼奥,7.048,0,0.4,0.2,0.5,2.6,13,利物浦,0.0,0.0,0.4,1
1.8,22,5,0,0,0,0,0.0,0.0,2.0,Ukraine,乌克兰,0.0,0.799998,1.0,0.999998,0.4,0,28.6,0.846154,0.2,1.0,0.0,0,0.6,1.4,2.4,0.0,0,450,0.2,0.0,90.2318,77.8,Ukraine,8013,左后卫,津琴科,7.028,0,1.2,0.4,0.333333,2.0,11,曼城,0.0,0.0,1.0,0
5.5,32,2,0,0,0,0,0.0,1.0,4.5,Belgium,比利时,0.0,0.0,0.5,1.5,0.0,0,3.5,0.714286,1.0,0.5,0.0,0,1.0,0.0,2.5,0.0,0,180,0.0,0.0,91.3683,69.5,Belgium,73,中后卫,维尔通亨,7.02,0,0.0,0.0,0.0,0.5,3,热刺,0.0,0.0,0.5,1
1.8,26,5,0,2,0,0,0.0,0.0,2.8,France,法国,0.0,2.0,1.0,0.6,0.6,0,17.6,0.670455,0.6,1.8,0.0,0,1.2,2.4,1.4,0.0,0,433,0.2,0.0,74.8843,43.8,France,2690,左后卫,迪涅,7.012,0,1.6,0.2,0.125,1.6,14,埃弗顿,0.0,0.0,1.0,1
3.8,27,5,0,1,1,1,1.0,0.2,0.2,Norway,挪威,0.0,0.0,3.0,0.8,2.4,0,13.2,0.636364,1.8,1.2,0.2,1,0.2,1.6,0.2,0.0,1,439,0.0,0.4,66.9739,21.8,Norway,6429,影子前锋,约书亚·金,7.002,0,0.999998,0.6,0.600001,2.0,208,伯恩茅斯,0.0,0.0,4.2,0
0.0,33,4,1,4,3,1,0.0,0.0,0.4,Spain,西班牙,0.0,0.0,1.4,1.0,1.2,0,23.4,0.803419,0.4,0.6,0.0,0,0.4,1.4,0.6,0.0,1,317,0.0,0.4,86.604,44.8,Spain,292,前腰,大卫·席尔瓦,7.0,0,1.0,0.4,0.4,0.8,11,曼城,0.2,0.0,1.0,0
